"","Tsize","rep","R2","RMSE","TvsS","BSm","BTm"
"56",20,56,0.377423037586871,18.7586822647213,0.00220478675877856,-32.9002017631741,1.75553105095601
"57",20,57,0.418956143915296,18.6330185112491,0.000440010337793842,-37.5791082765902,-1.00626983416419
"58",20,58,0.245952089321676,24.47048445691,0.0065097648456769,-33.9872645791637,1.53842535736638
"59",20,59,0.248240648987725,24.993909149387,0.00121535247912791,-39.8201945845624,-3.85317048513413
"60",20,60,0.333637035720747,18.1383867705228,0.00108161120619174,-35.6005945418286,-4.28120988674015
"61",20,61,0.305703358392024,23.0863119956846,0.0611649704998081,-35.5290852978113,-12.6634878358252
"62",20,62,0.360315689915081,21.878663735381,0.00165692092287313,-39.9719184242588,0.276895181943046
"63",20,63,0.125512779010934,22.7040243882375,0.125515903675617,-35.2268968263502,-19.2480042945183
"64",20,64,0.0449947657541406,22.4401796730233,0.146168196921475,-28.1882090560032,-16.3265645422094
"65",20,65,0.0995482558283199,22.98152119348,0.122907493710936,-28.5529719590877,-11.7181157444532
"66",20,66,0.0647104264870747,19.820572550279,0.34883412462458,-24.8777011669035,-17.5941912347408
"67",20,67,0.157284152879057,22.434760422735,0.00533689416505664,-31.0501955369588,-2.65794428217518
